t,Value,Expiry
42471.00,50.42,43553.00
42472.00,51.28,43553.00
42473.00,50.97,43553.00
42474.00,50.50,43553.00
42475.00,49.28,43553.00
42478.00,49.18,43553.00
42479.00,49.99,43553.00
42480.00,51.50,43553.00
42481.00,51.21,43553.00
42482.00,52.18,43553.00
42485.00,51.95,43553.00
42486.00,52.53,43553.00
42487.00,53.36,43553.00
42488.00,53.62,43553.00
42489.00,53.65,43553.00
42492.00,52.96,43553.00
42493.00,52.59,43553.00
42494.00,52.80,43553.00
42495.00,53.19,43553.00
42496.00,53.79,43553.00
42499.00,52.93,43553.00
42500.00,53.83,43553.00
42501.00,54.68,43553.00
42502.00,54.52,43553.00
42503.00,53.66,43553.00
42506.00,54.31,43553.00
42507.00,54.90,43553.00
42508.00,55.17,43553.00
42509.00,55.23,43553.00
42510.00,55.00,43553.00
42513.00,55.36,43553.00
42514.00,55.54,43553.00
42515.00,56.15,43553.00
42516.00,56.18,43553.00
42517.00,56.33,43553.00
42520.00,56.52,43553.00
42521.00,56.26,43553.00
42522.00,56.08,43553.00
42523.00,56.19,43553.00
42524.00,55.73,43553.00
42527.00,56.38,43553.00
42528.00,56.84,43553.00
42529.00,57.42,43553.00
42530.00,56.94,43553.00
42531.00,56.13,43553.00
42534.00,56.08,43553.00
42535.00,55.77,43553.00
42536.00,55.32,43553.00
42537.00,53.99,43553.00
42538.00,55.46,43553.00
42541.00,56.52,43553.00
42542.00,56.56,43553.00
42543.00,56.45,43553.00
42544.00,56.90,43553.00
42545.00,54.98,43553.00
42548.00,54.61,43553.00
42549.00,56.30,43553.00
42550.00,58.25,43553.00
42551.00,56.97,43553.00
42552.00,58.07,43553.00
42555.00,57.89,43553.00
42556.00,56.71,43553.00
42557.00,57.89,43553.00
42558.00,56.18,43553.00
42559.00,56.90,43553.00
42562.00,56.67,43553.00
42563.00,57.63,43553.00
42564.00,56.15,43553.00
42565.00,56.50,43553.00
42566.00,56.20,43553.00
42569.00,55.76,43553.00
42570.00,56.14,43553.00
42571.00,56.46,43553.00
42572.00,55.71,43553.00
42573.00,55.64,43553.00
42576.00,55.26,43553.00
42577.00,54.93,43553.00
42578.00,53.80,43553.00
42579.00,52.90,43553.00
42580.00,52.89,43553.00
42583.00,51.96,43553.00
42584.00,51.65,43553.00
42585.00,52.23,43553.00
42586.00,52.60,43553.00
42587.00,52.59,43553.00
42590.00,53.40,43553.00
42591.00,53.38,43553.00
42592.00,53.01,43553.00
42593.00,54.30,43553.00
42594.00,54.78,43553.00
42597.00,55.55,43553.00
42598.00,56.29,43553.00
42599.00,56.99,43553.00
42600.00,57.84,43553.00
42601.00,57.95,43553.00
42604.00,56.73,43553.00
42605.00,57.50,43553.00
42606.00,56.71,43553.00
42607.00,56.91,43553.00
42608.00,57.22,43553.00
42611.00,56.66,43553.00
42612.00,56.00,43553.00
42613.00,54.37,43553.00
42614.00,53.12,43553.00
42615.00,54.27,43553.00
42618.00,54.80,43553.00
42619.00,54.54,43553.00
42620.00,55.35,43553.00
42621.00,57.11,43553.00
42622.00,55.54,43553.00
42625.00,55.86,43553.00
42626.00,55.30,43553.00
42627.00,54.42,43553.00
42628.00,54.77,43553.00
42629.00,54.00,43553.00
42632.00,54.25,43553.00
42633.00,54.18,43553.00
42634.00,54.64,43553.00
42635.00,55.63,43553.00
42636.00,54.16,43553.00
42639.00,55.32,43553.00
42640.00,54.31,43553.00
42641.00,56.05,43553.00
42642.00,56.42,43553.00
42643.00,56.87,43553.00
42646.00,57.26,43553.00
42647.00,57.50,43553.00
42648.00,58.19,43553.00
42649.00,58.49,43553.00
42650.00,58.19,43553.00
42653.00,58.66,43553.00
42654.00,57.94,43553.00
42655.00,57.65,43553.00
42656.00,57.91,43553.00
42657.00,57.75,43553.00
42660.00,57.61,43553.00
42661.00,58.13,43553.00
42662.00,58.85,43553.00
42663.00,58.16,43553.00
42664.00,58.69,43553.00
42667.00,58.87,43553.00
42668.00,58.65,43553.00
42669.00,57.81,43553.00
42670.00,57.89,43553.00
42671.00,57.24,43553.00
42674.00,55.80,43553.00
42675.00,55.77,43553.00
42676.00,55.00,43553.00
42677.00,54.53,43553.00
42678.00,54.07,43553.00
42681.00,54.65,43553.00
42682.00,54.75,43553.00
42683.00,55.25,43553.00
42684.00,54.97,43553.00
42685.00,53.77,43553.00
42688.00,53.16,43553.00
42689.00,54.61,43553.00
42690.00,54.25,43553.00
42691.00,54.51,43553.00
42692.00,54.68,43553.00
42695.00,56.14,43553.00
42696.00,56.33,43553.00
42697.00,56.07,43553.00
42698.00,56.04,43553.00
42699.00,54.67,43553.00
42702.00,55.43,43553.00
42703.00,53.89,43553.00
42704.00,56.38,43553.00
42705.00,56.69,43553.00
42706.00,57.45,43553.00
42709.00,57.91,43553.00
42710.00,57.37,43553.00
42711.00,56.76,43553.00
42712.00,56.91,43553.00
42713.00,57.28,43553.00
42716.00,57.24,43553.00
42717.00,57.23,43553.00
42718.00,56.28,43553.00
42719.00,56.25,43553.00
42720.00,56.59,43553.00
42723.00,56.43,43553.00
42724.00,57.11,43553.00
42725.00,56.50,43553.00
42726.00,56.71,43553.00
42727.00,56.92,43553.00
42731.00,57.54,43553.00
42732.00,57.81,43553.00
42733.00,57.86,43553.00
42734.00,57.91,43553.00
42737.00,57.91,43553.00
42738.00,56.98,43553.00
42739.00,57.90,43553.00
42740.00,58.25,43553.00
42741.00,58.37,43553.00
42744.00,56.76,43553.00
42745.00,55.76,43553.00
42746.00,56.54,43553.00
42747.00,57.20,43553.00
42748.00,56.47,43553.00
42751.00,56.80,43553.00
42752.00,56.77,43553.00
42753.00,55.83,43553.00
42754.00,56.18,43553.00
42755.00,57.20,43553.00
42758.00,56.70,43553.00
42759.00,56.82,43553.00
42760.00,56.21,43553.00
42761.00,56.68,43553.00
42762.00,55.59,43553.00
42765.00,55.55,43553.00
42766.00,55.75,43553.00
42767.00,56.76,43553.00
42768.00,56.32,43553.00
42769.00,56.56,43553.00
42772.00,55.93,43553.00
42773.00,55.32,43553.00
42774.00,55.51,43553.00
42775.00,55.91,43553.00
42776.00,56.31,43553.00
42779.00,55.40,43553.00
42780.00,55.50,43553.00
42781.00,55.33,43553.00
42782.00,55.33,43553.00
42783.00,55.34,43553.00
42786.00,55.36,43553.00
42787.00,54.98,43553.00
42788.00,54.50,43553.00
42789.00,55.09,43553.00
42790.00,54.92,43553.00
42793.00,55.23,43553.00
42794.00,55.74,43553.00
42795.00,55.46,43553.00
42796.00,55.07,43553.00
42797.00,55.34,43553.00
42800.00,55.37,43553.00
42801.00,55.29,43553.00
42802.00,53.35,43553.00
42803.00,52.60,43553.00
42804.00,51.77,43553.00
42807.00,51.90,43553.00
42808.00,51.57,43553.00
42809.00,51.98,43553.00
42810.00,51.83,43553.00
42811.00,51.81,43553.00
42814.00,51.86,43553.00
42815.00,51.61,43553.00
42816.00,51.62,43553.00
42817.00,51.28,43553.00
42818.00,51.45,43553.00
42821.00,51.78,43553.00
42822.00,51.89,43553.00
42823.00,52.46,43553.00
42824.00,53.05,43553.00
42825.00,53.41,43553.00
42828.00,53.51,43553.00
42829.00,54.14,43553.00
42830.00,54.15,43553.00
42831.00,54.44,43553.00
42832.00,54.77,43553.00
42835.00,55.52,43553.00
42836.00,55.83,43553.00
42837.00,55.94,43553.00
42838.00,55.99,43553.00
42842.00,55.77,43553.00
42843.00,55.50,43553.00
42844.00,53.97,43553.00
42845.00,53.84,43553.00
42846.00,53.42,43553.00
42849.00,52.98,43553.00
