t,Value,Expiry
43074,59.51,43553
43075,58.48,43553
43076,59.22,43553
43077,59.81,43553
43080,60.27,43553
43081,59.24,43553
43082,58.26,43553
43083,58.98,43553
43084,58.88,43553
43087,59.46,43553
43088,59.97,43553
43089,60.23,43553
43090,60.52,43553
43091,60.86,43553
43095,62.03,43553
43096,61.73,43553
43097,61.8,43553
43098,62.02,43553
43102,62,43553
43103,62.54,43553
43104,62.73,43553
43105,62.71,43553
43108,63.03,43553
43109,63.77,43553
43110,63.89,43553
43111,63.85,43553
43112,64.31,43553
43115,64.95,43553
43116,64.2,43553
43117,64.39,43553
43118,64.49,43553
43119,64.06,43553
43122,64.29,43553
43123,64.84,43553
43124,64.91,43553
43125,65.02,43553
43126,65.03,43553
43129,64.49,43553
43130,63.82,43553
43131,64.03,43553
43132,64.54,43553
43133,63.49,43553
43136,62.86,43553
43137,62.1,43553
43138,61.04,43553
43139,60.63,43553
43140,58.94,43553
43143,58.94,43553
43144,59.16,43553
43145,60.1,43553
43146,60.02,43553
43147,60.48,43553
43150,61.19,43553
43151,61.21,43553
43152,61.32,43553
43153,61.93,43553
43154,62.77,43553
43157,63.17,43553
43158,62.59,43553
43159,60.89,43553
43160,60.29,43553
43161,60.71,43553
43164,61.79,43553
43165,61.98,43553
43166,60.88,43553
43167,60.44,43553
43168,61.89,43553
43171,61.7,43553
43172,61.62,43553
43173,61.8,43553
43174,61.86,43553
43175,62.53,43553
43178,62.17,43553
43179,63.12,43553
43180,64.79,43553
43181,64.27,43553
43182,65.29,43553
43185,65.02,43553
43186,65.14,43553
43187,64.56,43553
43188,64.87,43553
43192,63.36,43553
43193,64,43553
43194,63.96,43553
43195,64.36,43553
43196,63.25,43553
43199,64.22,43553
43200,65.68,43553
43201,66.76,43553
43202,66.45,43553
43203,66.95,43553
43206,66.3,43553
43207,66.48,43553
43208,67.69,43553
43209,68.12,43553
43210,68.39,43553
43213,68.97,43553
43214,68.21,43553
43215,68.42,43553
43216,68.83,43553
43217,68.77,43553
43220,69.56,43553
43221,68.54,43553
43222,68.63,43553
43223,68.81,43553
43224,70.22,43553
43227,71.38,43553
43228,70.16,43553
43229,72.32,43553
43230,72.84,43553
43231,72.82,43553
43234,73.55,43553
43235,74.13,43553
43236,74.95,43553
43237,75.24,43553
43238,74.93,43553
43241,75.51,43553
43242,75.84,43553
43243,76.11,43553
43244,75.32,43553
43245,73.21,43553
43248,72.23,43553
43249,72.48,43553
43250,74.3,43553
43251,74.3,43553
43252,73.84,43553
43255,72.85,43553
43256,72.66,43553
43257,72.29,43553
43258,74.04,43553
43259,73.58,43553
43262,73.61,43553
43263,73.21,43553
43264,74.14,43553
43265,73.16,43553
43266,70.69,43553
43269,72.29,43553
43270,71.87,43553
43271,71.54,43553
43272,70.28,43553
43273,72.44,43553
43276,72.02,43553
43277,73.54,43553
43278,74.65,43553
43279,74.63,43553
43280,75.7,43553
43283,74.18,43553
43284,74.56,43553
43285,75.03,43553
43286,74.69,43553
43287,74.9,43553
43290,75.77,43553
43291,76.35,43553
43292,72.34,43553
43293,73.5,43553
43294,74.07,43553
43297,71.1,43553
43298,71.42,43553
43299,72.04,43553
43300,71.9,43553
43301,72.39,43553
43304,73.1,43553
43305,73.65,43553
43306,74.33,43553
43307,74.89,43553
43308,74.29,43553
43311,74.95,43553
43312,73.69,43553
43313,72.09,43553
43314,72.97,43553
43315,72.96,43553
43318,73.51,43553
43319,74.51,43553
43320,72.37,43553
43321,72.19,43553
43322,72.84,43553
43325,72.62,43553
43326,72.48,43553
43327,70.93,43553
43328,71.47,43553
43329,71.66,43553
43332,72.02,43553
43333,72.14,43553
43334,74.17,43553
43335,74.28,43553
43336,75.02,43553
43339,75.4,43553
43340,75.12,43553
43341,76.15,43553
43342,76.55,43553
43343,76.12,43553
43346,76.55,43553
43347,76.58,43553
43348,75.61,43553
43349,74.92,43553
43350,75.25,43553
43353,75.57,43553
43354,77.02,43553
43355,77.74,43553
43356,76.31,43553
